,title,date,content
177,Re: [討論] 撐香港的最好作法:放寬移民限制,5/27,[]
178,Re: [討論] 蔡英文操弄香港議題操弄到被反噬了,5/27,"[': 那就跟我們柯黑看不慣 整天嘴酬庸 發言人N位一樣道理', ': 噁心', ': 這篇中肯', ': 過河拆橋就是他媽噁心', ': 去年八卦板天天香港爆文', ': 而且那些香港文ID也被站方砍了不少', ': 跟我觀念相近', ': 不要自己為網路或PTT多有份量啦~小眾一個', ': 好意思扯發言人喔，民進黨酬庸薪水多少，發言人薪水多少', ': ？他瑪柯文哲發言人不用做事喔？', ': 發言人都死了不用做事', ': 中肯 其實這次小英做對，但綠共太噁']"
179,Re: [討論] 撐香港的最好作法:放寬移民限制,5/27,"[': 當然 可以從長計議', ': 移民是柯韓粉再鬧吧', ': 是蟑螂一直阻撓理性討論  幹  誰跟你要一步到位', ': 原來黎智英是柯粉', ': 所以要放寬多少？', ': 個人也贊成放寬移民呀，年輕人愈多愈好', ': 柯憐吶粉粉同情起香港人了XD 之前不是喊廢青暴青的嗎', ': 我也贊成放寬啦但每個都要嚴審免得親共的來了', ': 黎智英還當過馬迷呢，科科', ': 50歲以下差不多，太老就不是勞動力了', ': 不要放寬 反而該拉高標準 全世界包含美國澳洲移民都變嚴', ': 格 台灣也該拉高標準', ': 香港應該協調美國軍售 讓香港人有制衡北京的能力', ': 左膠就喜歡一次到位相干措施後遺症不重要啦']"
180,Re: [討論] 撐香港的最好作法:放寬移民限制,5/27,"[': 推，非常中肯', ': 換台灣選票？817都台灣人投的 跟香港人換了什麼選票？', ': 香港人現在爭的不就是民主自由嗎？不然在爭移民？']"
181,Re: [討論] 撐香港的最好作法:放寬移民限制,5/27,"[': 那也不難 優先錄取那些有參加過香港反中運動的人', ': 混在裡面根本不難 黑警都做到了', ': 一堆人混在裡面打反中的', ': 不覺得很好笑嗎 台灣整天吹民主多好 今天就算對岸真的派間', ': 諜 台灣怎麼好難道沒辦法感化他們嗎', ': 難道什麼民主 什麼自由其實也不過如此 只是在騙台灣人有民', ': 主比中國好而已嗎', ': 不覺得好笑耶', ': 涉共諜案的只要認真問政 台灣深綠如Cheap也是覺得棒', ': 要滲透台灣還不容易 就真的願意投入不是炒短線的話', ': 沒這麼難', ': 如果他是行醫的 願意臥底個10年 更簡單', ': 跟中國人講民主，不可能。因為我試過了', ': 港仔跟中國人差在哪@@?', ': 4樓的言論跟間諜沒有兩樣', ': 中國人就是畜牲 畜牲是無可救藥的 無法感化無法教化']"
182,Re: [討論] 撐香港的最好作法:放寬移民限制,5/27,[]
183,[討論] 撐香港的最好作法:放寬移民限制,5/27,"[': 不~可~能~', ': 加快審核速度 現在是排半年', ': 要爭取的是香港民主結果主要手段是離開香港 是不是有', ': 點怪怪的', ': 問題是要怎麼測試反中?', ': 只因為香港人素質都比他人高 就開始有人擔心被搶飯碗 人性', ': 不過就是這樣', ': 香港親中派也不少，何況已經被中國洗一堆人口進去了', ': 我是建議  至少把過去港生來台就讀後回去的那群納入', ': 曾經來台灣生活過  對台灣的認同感也會比較高', ': 3Q之前講港人來台當兵被噓爆 這時候對放寬移民限制忽然間就', ': 沒事了', ': 當初滿嘴聲援 說穿了不過就是假道德', ': 對 港生 還有來台灣當兵 結婚的優先考慮', ': 老實說不希望 怕台北被塞爆 偏偏有人硬要給港仔希望', ': 未必會來台北吧 台北房價那麼貴', ':  之前噓3Q港人來台當兵那群人現在反而支持放寬移民限制 是', ': 在錯亂嗎', ': 港人來台當兵不錯啊 剛好解決台灣的兵源問題', ': 3Q講的搞不好最符合現實，要來當台灣人，先去服兵役不為', ': 過吧? 台灣人自己都要服兵役了，你中途跑過來的只想爽合', ': 理嗎？只是不知道他當時怎麼講了會被噓', ': 不過現在台灣沒有義務役了 想當兵的要從志願役做起', ': 結果現在變Q粉了？陳先知？', ': 放洨啦', ': 我好像沒噓過3Q的這個想法', ': 靠，我們在台灣土生土長的都要去當一年兵了，之前的還當', ': 到兩年，外來的都不用擔這些義務也太爽', ': 我只能說 同時放一大批跟自己文化不同的住民進入國內絕對', ': 不是好政策', ': 如果真的要開放部份移民，3Q這種想法最符合情理啊', ': 先設個紅燈區這樣生活習性就一樣了', ': 3Q的說法其實去年一堆人在講,PTT脫離現實很久了', ': 那更矛盾了 肯先付出義務才要移民台灣又不是間諜的香', ': 港人 應該是爭取自由民主的中流砥柱 結果你要把這些人', ': 都抽離香港 這樣是在撐？', ': 嗑含糞9.28毛樂見藍絲大舉入侵', ': 放寬讓一堆五毛以香港人名義混入台灣搞破壞？', ': 怎麼保證港人裡面都是正常的 中國移民人數可不少', ': 國民黨或民眾黨應該皮皮挫,港青機動部隊可能只聽民', ': 進黨指揮而不是國家指揮', ': https://reurl.cc/g7Nroz 複習一下各種港人不能當兵拿國籍', ': 的理由', ': 更不用說 柯韓糞常嘴不打房 全面放寬上漲更快', ': 你以為這是進口豬肉嗎', ': 然後到今天 放寬移民限制就很OK沒有疑慮了', ': 其實想法是不錯 只是實務上要做到審核反滲透蠻困難的', ': 畢竟香港現在整個都變成中國的形狀', ': 想法上，如果是反中又肯當兵，那我也能接受，問題是要怎', ': 麼分?', ': 好啦 回歸本文話題 我認為港人來台補的只會是外勞缺', ': 有人預言2023-2024可能的統派暴動,國軍如果不肯動手', ': ,港青傭兵還可以鎮壓一下', ': 知名的那幾個民主派人士要進來台灣應該不難啦，問題是量', ': 一大的話，其他的要怎麼審?', ': 就跟當年韓戰戰俘一樣啊 身上要刺殺豬拔毛 反共抗俄', ': 港人怎麼會變成捕外勞缺?', ': 當兵沒什麼問題阿，限制軍階最多到中校', ': 然後再弄個蔣公頭像 讚', ': 人又不是豬肉 你會不會想得太單純', ': 而我不覺得這會是好事情 工作環境習慣的落差 生活環境不同', ': 都可能造成新移民跟原住民的矛盾', ': 然後只有居留權，沒有參政投票權', ': 每四年審核一次就好了', ': 放寬大量移民絕對不可行', ': 港人很多都是金融法律吧，我表姐就香港人，早就跑來台灣', ': 了', ': 看紓困那些在櫃臺前面叫囂鬧事的 人是什麼東西', ': 不用多說了吧？', ': 其實海外軍團遲早得回鄉的,當年的捷克軍團就是', ': M大 港人有辦法的很多都往外面跑了', ': 放寬港人移民台灣，然後香港就放給他爛？這不叫撐香港，', ': 而是撐台灣才對', ': 當然 最有辦法的人 早在1997之前就跑了', ': 不過97之前移民的多半是到加拿大 英國等', ': 我表姐是生小孩是被氣到，還真的就辦一辦來台灣了', ': 很多知名港星就是97大限前就離開香港了', ': 有認識在澳洲留學的港人  想盡辦法就是不要回香港去', ': 不過香港在移交給中國後就確定沒救了，所以還是離開的好', ': 現在那些明星應該也很多有留個其他國籍當保險吧？', ': 對 劉其他國籍當保險', ': 吃屎 他們不是反中 是反對特權被削弱', ': 現在很寬鬆了啊，結婚依親，不是很輕鬆', ': 反正平常還是繼續留在那邊賺錢，要是真的不對勁時再跑就', ': 好', ': 笑死 又有自以為是的國際公民法條大師在講自以為是的', ': 鍵盤言論了 少打鍵盤多唸點書吧 可憐哪', ': 受迫於緊急狀態而來的移民 我還沒看過融合的很好', ': 案例', ': 量不多的話，應該久了就自然融入，但是量太多反而會自成', ': 一格', ': 台灣實驗過了啊，眷村= =', ': 眷村那些都大概要花好幾代的時間融入', ': 不要  看看歐洲爆炸成什麼樣', ': 我可不要以後做捷運還聽到粵語', ': 年輕人多來沒差，台灣人口老化很嚴重', ': 年輕人沒錢來搶就業 現在薪水夠低了', ': 很多港仔服務業臉真他媽的臭', ': 你家給他們住阿? 放寬如果裡面有支那狗間諜 怎處理?', ': 港仔服務業看人的，幾年前我去四季酒店吃我表姐的喜酒，', ': 面對中國人跟台灣人態度差很多', ': 老話一句 1997年註定有這一天發生 共產狗就是言而無信', ': 有本事的早就移了 剩下一些沒本事的', ': 台灣碰到選舉已經夠亂了 再加個港式覺青還得了', ': 香港人素質沒有比較高，他們法治社會各種鑽漏洞玩法律', ': 香港人如果是因為中國因素要移民台灣，那去別國比較好，', ': 因為來台灣還是會遇到中國', ': 連流血都懶的流 來台灣只會被刺殺吧', ': 來當兵剛好放第五縱隊入侵', ': 反串', ': 到時候來一堆批香港皮的五毛呵呵', ': 台灣從一開始的閩客、漳泉到後來的本省外省這些族群衝', ': 突，大量吸收香港人又要一次台港衝突嗎？', ': 太理想化，做不到', ': 三隻小豬被大野狼追 逃來茅草房幹嘛', ': 啊陳伯惟就要開放讓沒有600萬的港青來當兵換居留，', ': 還不是被靠北', ': 歡迎更多的新香港人', ': 到時來一大票9.2五毛來影響台灣選舉你最爽是嗎？', ': 香港人這種一堆難民心態，敵視獨派，支持中華民國統', ': 派的，也只有檳榔憨習粉現在才在狂吹香港人素質高', ': 是嫌1945-1950年120萬中國難民來台灣徹底搞爛台灣的', ': 教訓還不夠是吧？呵呵', ': 呃  台灣出事，你也不可能扛責吧？跑第一？', ': 感覺房價又有理由漲了', ': 但', ': 只接受年輕勞動力謝謝', ': 習粉', ': 奇文共賞一下', ': 港仔吃屎啦 不革命跑來台灣躲 可憐哪', ': 移民來台灣有個屌用，幾年後還是不是一樣又會遇到一樣狀', ': 況...?連各位口中的美國老爸日本老哥都承認一個中國 台灣', ': 是中國的一省，啊各位是在自以為很爽很安全，在哈佛?', ': 以香港人普遍勢力跟貪婪的個性，開放香港移民，你的下一', ': 代買房更困難！', ': 房價會先爆漲，然後因一次放大多人所以融合過程有磨擦導致', ': 治安不好，跟當初國民黨來台有8成像', ': 香港中國化，台灣香港化，洗人口開始', ': 不用帶風向了啦 香港人口早給大陸洗一輪了 放寬就是自作孽', ': 何況英國媽媽都沒做什麼 輪得到你嗎', ': 台灣不缺人 一個島有2300萬人夠多了', ': 你想要你的孩子以後像香港人一樣擠小房子嗎？ 香港人口', ': 太密集了', ': 藍的紅的突然支持起香港了', ': 家人最近看房已經遇到好幾組港人一起看', ': 關心但不介入', ': 國際金融中心不是台灣想撐就成的起來，如果中國鎖國也撐不', ': 起來。台灣能幫的只有港仔被中國肛時，說忍一忍就會過去，', ': 惡有惡報之類的XD', ': 為何要？你為何不叫英國美國放寬，他們也撐香港', ': 台灣小國是要被滯港支那人洗一波人口喔？', ': 支那事務', ': 香港人就是中國人，你有要開放上海人移民嗎?', ': 我們精英中心是只收精英、不會接受土立土及', ': 五大訴求哪一條是撐香港？', ': 台灣有欠香港什麼嗎？為什麼台灣人努力打拼奮鬥的土', ': 地要開放給香港人佔便宜？', ': 1997-2019這段期間都沒想到台灣過？', ': 香港有實質幫助過台灣什麼？', ': 如果真的要請限定年輕正妹', ': 選舉消費一下就好了 開個屁放讓他們來鬧', ': .', ': 蠢方法', ': 結果香港人來了一樣不想生', ': 柯糞有腦就不會就柯糞了', ': 北七', ': 白癡嗎，藍腦不意外', ': 房價飆漲只會讓原本的台灣人更痛苦', ': 不認同', ': 你不覺得一二行有點矛盾嗎?', ': 反對', ': 不要 台灣已經門檻最低了 不要鬧', ': 金融中心也輪不到台灣啦', ': 這種重大事件 除非朝野共識 要不然一樣要測風向', ': 吃屎', ': 你好單純', ': 來台灣是找認同台灣價值，想與台灣一同發展志同道合者。如果', ': 只是要躲避中共迫害，沒打算融入台灣社會，沒需要歡迎..', ': 香港人不留在香港爭取自由，反倒想著移民，問號？', ': 台灣撐香港是支持他們爭取該有的權利，不是棄守', ': 目前覺得放寬移民可接受 但是要如何防範共諜混入 難']"
184,Re: [討論] 蔡英文操弄香港議題操弄到被反噬了,5/27,"[': 從來沒變過被說騙票 唉', ': 一開始就說關心不介入啦 講這麼明白了', ': 看到同為華人的香港同胞 陷於水深火熱說真的只要是人多少', ': 都有憐憫心 會想去幫助而不只是聲援', ': 這次事件突然了人性的自私 貪婪', ': 基進也有募款捐款啊', ': 不然組織柯學共和軍 限柯粉加入武裝救港好了', ': 希望一直鼓吹擴大移民的網友，可以和來的香港人一起競', ': 爭工作。', ': 看著他們炒房，和要求政治權利。', ': 香港的專業是金融啊 港人真要來台工作取得居留權有啥', ': 不好', ': 支持啊 難民是另外一回事啊', ': 如果香港人要來搶工作 符合資格當然歡迎', ': 但是難民有要具備工作能力嗎？', ': 台灣主要專業是電子、電機、醫療，香港是金融、國貿', ': 我覺得不衝突 但是放寬來的會是有能力的嗎？', ': 標準又不高 48000 就可以長期居留了', ': 八卦年薪平均300萬 一個月20幾萬的耶', ': 又不是一定要600萬', ': 小英也說過勞工是心頭最軟的一塊肉', ': 小英也說過居住正義', ': 小英也承諾齊柏林國土復育', ': 然後，就柯糞吃屎了', ': 小波浪閉嘴不要挑釁', ': 心頭最軟的一塊肉不就是表示她也很痛而已', ': 居住正義 不就是實價登錄0.5 是沒有2.0好啦', ': 國土復育就真的嘴炮了 蹭聲量而已', ': 我也贊成放寬啦但每個都要嚴審免得親共的來了', ': 但柯憐吶粉粉同情起香港人了？XD之前不是喊廢青暴青的嗎', ': 我不知道小菸算不算雙標。但柯連吶絕對雙標', ': 被反噬的是柯韓粉的智商吧']"
185,Re: [討論] 蔡英文操弄香港議題操弄到被反噬了,5/27,"[': 推 打臉一堆腦粉', ': 這是彭文正台獨？', ': ：你的主權價值是什麼', ': ：我清廉、認真做事、民主自由（os:祖國的官員素質高、清', ': 廉、認真做事，祖國的民主自由很好，香港小波浪啦）', ': 柯文哲必須再次確認台灣價值，讓民進黨支持者認可。', ': 讓民進黨的支持者認可再談合作啊', ': 不然柯神說2022他要跟蔡英文合作共推北市長', ': 柯粉認可嗎？', ': 對的  讓dpp確認台灣價值就是最重要的', ': 還千年一遇朝野有共識咧，呵呵', ': 共和黨有支持台灣國家正常化，台灣片面改變現狀？', ': 現在武統解放台灣的時間壓力是在習近平這邊，它巴不', ': 得台灣片面改變現狀好嗎？']"
186,Re: [討論] 香港問題弄得民怨四起，該怎麼滅火？,5/27,"[': 香港一出事柯粉立刻政治鬥爭', ': 這這樣沒錯 去年就被酸關心不介入了 現在也只是保持一致', ': 如果柯粉的鬥爭發酵 國台辦絕對加大力度', ': 好像做了什麼卻什麼都沒做 還能獲得利益這才是厲害的地方', ': 出來講話就贏過一堆人了 人人可以講', ': 這樣說起來 蔡的口徑一直都沒啥變阿', ': 為啥都要閉嘴 都要私下訪問', ': 柯文哲如果去年大聲批評 不要模糊', ': 這種真心要幫忙的 那會敲鑼打鼓的做 肯定要私底下來的', ': 他民調早就爆炸了 柯粉說是阿北傻啊不懂得騙票', ': 但是罵陳時中就超直接', ': 順時鐘就他發明的', ': 騙票連韓這麼愛騙都講不出支持反送中 為啥？', ': 用總統立場講、北高市長立場講 都是支持啊', ': 不做就說人家只是出張嘴 問題就是出張嘴就是比連口頭', ': 支持都沒有好', ': 明明就這麼簡單的事情 全台灣就想選總統的人就蔡肯做', ': 台灣人哪有看不起香港人?  輪的到台灣看不起香港嗎', ': 然後只有柯粉滿滿的 我理解阿北啦 他是怕傷害兩岸關係', ': 最後回不去', ': 香港的問題是他們現在直接面對中共而已', ': 早就回不去了', ': 兩岸關係在習近平上任後早就不可能回去了 除非習下台']"
187,Re: [問卦] 香港人：香港幫了台灣選舉 台灣該還債了吧,5/27,"[': Q粉是逆？', ': 但是我喜歡蔡政府，又是國民黨員耶！這樣可以當柯粉嗎', ': ？', ': 可以']"
188,Re: [討論] 蔡英文操弄香港議題操弄到被反噬了,5/27,"[': 側翼就不給理性討論這件事的空間', ': 派一些垃圾來推文  甚麼把人接去你家  是要木馬屠城', ': 錢你出 等等  這種討論蟑螂  這幾天十分橫行', ': 綠粉護航沒有下線啊 早就看清楚了', ': 那不一定是粉', ': 更別提到隔壁數字去撈  選前選後兩種態度的ID  很多', ': 滑坡成這樣 也真是好笑', ': 你又沒投蔡，現實風向早就變了，還在ppt取暖', ': dodobaho老母就去對岸賣的啊，不意外']"
189,Re: [討論] 香港問題弄得民怨四起，該怎麼滅火？,5/27,"[': car', ': 現在大聲講 這中共內政問題,都不會被嘴了,覺得挺好的']"
190,Re: [問卦] 香港人：香港幫了台灣選舉 台灣該還債了吧,5/27,"[': 為什麼八卦酸關心但不介入，會削減台灣人對香港的支持', ': 啊？', ': 把焦點從中共轉向民進黨啊', ': 就跟這篇文說台灣拿香港反中來操作利益是理所當然一', ': 樣。下一步大概是沒我拿來操作誰理你們香港', ': DPP從以前就反中共了 香港只是去年才開始而已', ': DPP根本不需要操作 大家心裡都知道該投誰', ': 那位正在八卦崩潰中', ': 有膽識一點就直接說DPP沒有從香港反送中拿到任何選', ': 舉優勢與利益啦。一切都是我大DPP長期經營有成，香', ': 港只是看你們可憐撐一下。', ': 跟2020選舉成敗一點關係都沒有', ': 你該怪的是中共為什麼要搞香港讓DPP得利 你怪錯人了', ': 所以香港人要求回報是無稽之談', ': 中共不搞香港 DPP是要怎麼說服台灣人？', ': 鄭大有要求回報啥嗎？', ': 可是把焦點轉向中共，然後一直罵中共而不是DPP，這樣就', ': 能幫助香港？', ': 好啦 上面兩句你自證完了。中共搞香港我只是順便撿', ': 個槍而已～真奇怪周邊國家只有台灣撿到槍', ': 講具公道話，香港今天這樣子，是香港人自己造成的，澳門', ': 也有國安法，人家也是好好的過日子，就你香港人勾結境外', ': 勢力在打燒搶', ': 香港人要回報可是這系列的標題呦', ': 應該說 中共搞香港 讓原本DPP卡彈的槍不卡了', ': 澳門自己甘為犬奴，不能這樣比', ': 台灣人認知DPP以前講的不是危言聳聽 而是真的', ': KMT以前就是口交走狗 自然沒槍可撿', ': 所以為何罵中共不罵Dp，就能幫助香港啊？', ': 中共親自證實DPP的危機論 你怪DPP不該揭露中共本質', ': 嗎？呵呵', ': 什麼自甘為奴? 台灣沒國安法?滲透法? 台灣人真奴，沒出', ': 來打燒搶~~笑死', ': 罵中共可以轉移焦點到DPP 可以帶風向啦', ': 好，揭發了中共垃圾本質，那然後呢？怎麼幫助香港', ': 推，台灣一直在討論的都是我們有什麼利用價值，致力於把', ': 台灣利益跟美國利益綁死換取和平，香港人也要想一想', ': 揭發中共本質可以讓台灣人不會再因為經濟理由而受騙', ': 啊', ': 對台灣有利', ': 好，不讓台灣受騙，然後呢？怎麼幫助香港？', ': 那要看香港還有多少籌碼啊 我是很悲觀就是', ': 香港人自己白癡被境外勢力當槍使用，民進黨也趁這波得利', ': ，結果鬧到香港股市跌，樓市跌，下場是得到國安法~真白', ': 癡', ': 台灣是美國之外願意幫香港發聲的了', ': 所以你也認為根本幫不到香港？', ': 發聲?是嘴砲吧… 說好聽話誰不會? 跟香港站在一起...', ': 實際上就是你好自為之請保重的意思~', ': 美國訂了支持香港的法條 有任何執行或行動嗎?', ': 幫得到啊 人家2019泛民不就大勝了 推波助瀾啊', ': 只是為時已晚罷了 文章都講了', ': 泛民大勝，台灣有幫忙到嗎？這有點牽強吧', ': 推這篇', ': 香港都說他們受到太陽花影響了', ': 怎麼會沒幫到忙', ': 只是他們早在2003就要做的事 拖到2019才做 太晚太晚', ': 了', ': 本來就是要關心不介入..你憑什麼介入中共內政問題?', ': 扯到太陽花也太遠了吧？這些根本談不上實質的幫忙吧？', ': 好好日子不過學太陽花?笑死~ 下場是香港爛成這樣還得到', ': 國安法~哈哈哈', ': 這篇中肯', ': 還是要說台灣給香港抗爭的勇氣，這種日漫對話內容？', ': 是啊 台灣得抗爭給了香港人很多啟示 他們才真正的開', ': 始面對中共問題', ': 雨傘運動還不夠 必須要又長規模又大的抗爭才夠', ': 台灣能給他們的啟示太多了 只是你不願意想而已', ': 把自己看的太重要了...', ': 幹你娘垃圾共狗繼續叫啊', ': 其實最開始是抗議香港房價高，跟抗議中共一點關係都沒有', ': ，香港人自己傻被人利用，整個轉移到什麼都是中共害的，', ': 因而變成雨傘革命一直到現在，最初根本只是抗議香港房價', ': 高~~ 笑死人', ': 台灣都有不少人私下募捐物資給香港了', ': 長期抗共?抗在哪?DPP改名，刪除都打假球，一堆都嘛跑中', ': 國去撈錢，拿著抗共和台獨的招牌幫自己鞏固權力，跟資方', ': 站同線高房價低薪資，破壞臺灣環境，耗竭臺灣的資源', ': 60歲憨粉青年先撐黑警，再氣蔡英文不挺香港', ': 今日香港 明日你勞權', ': 台灣，西太平洋民主跟防疫典範；做好自己這幾年就夠當照', ': 妖鏡讓民主國家聯盟對照，可惜香港會是專制下的實驗組', ': 兩岸僵局在於中共的不可信賴性', ': 寫得很好', ': 關心但不介入酸的是蔡英文跟ddp的雙標，關支持香港什麼事', ': ？甚至可能就是支持香港才會酸啊', ': 推個', ': 沒有雙標阿 政見從來沒說要大開放移民', ': 來個政見說本來就要大開移民的證據來看看啊柯韓粉 不', ': 要再轉移焦點了', ': 推', ': 推', ': 台灣真的是最近的浮木', ': 關鍵就是亞太門戶根本是個抽象概念，沒人實際計算的出美', ': 國保護台灣的利益為何，都只能打嘴炮']"
191,[新聞] 台灣人權會：停用港澳條例，有違撐香港,5/26,"[': 他們哪根毛 要撐香港自己出錢出人啊', ': 呵呵 你說的好像已經停用了一樣', ': 中共同路人+1', ': 笑死，選前就關心但不介入了好嗎？他國事務', ': 難民法的內容是？', ': 高空組織 沒屁用', ': 推', ': 同團路線']"
192,Re: [問卦] 香港人：香港幫了台灣選舉 台灣該還債了吧,5/26,"[': 香港有什麼籌碼跟台灣交換，本來就應該台灣優先，況且一', ': 國一制了，不合時宜的港澳條例早該改了', ': 神經病白痴港仔 還個屁債 有問過我們552嗎？', ': 撐香港果然嘴砲 ㄏㄏ', ': 台灣優先 我還嫌現在香港移民標準太低']"
193,[討論] 韓國瑜選前挺香港的話，會多幾票？,5/26,"[': 人設問題', ': 票會變少', ': 你要知道支持者是什麼族群 他們最愛戒嚴', ': 不喜歡民主自由', ': 他有挺阿 這根本不是重點', ': 實話說不會有改變 票變少然後我會繼續笑他 因為他根本不可能', ': 他會放棄九二共識嗎？會放棄和平協議？都不會的話他', ': 挺香港有什麼用？那跟新疆說要收香港人有什麼差？', ': 拒絕', ': 根據綠粉的指控:他有收支那的錢 所以才不敢表態', ': 200萬，前提是不能講痔瘡，林北但李', ': 最近不是抓到一批台商都認罪了...?', ': 進中聯辦之後就變成中共代理人了啦...怎麼可能(敢)挺香港', ': 韓導就是一個投機咖, 運氣好贏了高雄,瞬間人氣爆衝變成KMT', ': 唯一希望, 然後進中聯辦不知交換了什麼東西, 回來就決定一', ': 步登天.  可怕唷', ': 怎麼挺?你忘了中共是國民黨的爸爸耶']"
194,Re: [問卦] 香港人：香港幫了台灣選舉 台灣該還債了吧,5/26,"[': 打從一開始就沒這麼有興趣,現在只是覺得綠側翼突然禪定了', ': 有點好玩吶', ': 不然你要他們承認去年撐香港只是利益操作嗎', ': 的確鬆了一口氣，不過忍不住想嘲笑817的愚蠢，怎麼辦呢？', ': 同樣中國內政問題，遠在天邊的新疆聲量就輸香港一截', ': 廣義817範圍過大,直接將綠側翼跟爵卿就好', ': 就跟台獨一樣 喊都很大聲 真的要...?', ': 整天嘴砲批鬥抹顏色 實際上還不是要屈服現實', ': 這幾波務實操作確實非常正確 大部分只是嘴賤酸一下', ': 過去的表現', ': 本來就不可能有什麼動作 中共內政 你憑什麼管....?', ': 關心不介入啊 不就是這樣 講這麼白了']"
195,[討論] 香港問題弄得民怨四起，該怎麼滅火？,5/26,"[': 是不是只有你覺得烽火連天', ': 蔡英文都只說關心不介入了 從來沒說要開放難民啊', ': 何況庇護港仔從來都不是蔡的政見 何來騙票', ': 大哥你ptt逛太久了', ': 是你覺得嗎?', ': 所以蔡英文說要跟香港人站在一起只是嘴上說說囉?', ': 不能精神上支持就好嗎', ': 唉 勸你還是關掉PTT吧', ': 蔡是台灣總統不是香港特首 台灣優先一直是民進黨原則', ': 放心啦 在某版裡所有官員不滿意度大概8~90%還差這件事嗎', ': 反倒是香港人應該說說 庇護他們對台灣有何益處吧', ': 我想想喔，再弄一次民調打醒操弄這議題的瞌睡蟲？', ': 這個真的想太多...', ': 香港人又沒要獨立？蔡小英民調還在高檔耶', ': 8-7傻傻的被詐騙陰給騙 棄子何須再談', ': 臺灣人撐香港 沒說過支持收大量難民吧 支持的是對抗中', ': 國暴政', ': 想太多了', ': 真的想太多 怎麼我認識的香港朋友都沒這樣想', ': 想多了', ': 看看外面的世界再鬧的就版上那一群', ': 這個議題多數臺灣人肯定站蔡英文那邊的，就搞不清楚的以為', ': 抓到小辮子一堆人，去督促罵內政還比較有用', ': 香港要去求幫忙的是英國美國，台灣根本就也只是孤島，只能口', ': 頭+精神支持', ': 還民怨四起哩 把網軍把持的PTT當全世界 搞笑喔']"
196,[討論] 認真問唷！香港曾幫助過台灣些什麼？,5/26,"[': 就沒有啊 憑甚麼要台灣幫助他們', ': 好了啦 洗一堆分化文 zzzz', ': 講實話叫分化哦 笑死', ': 早期香港人非常看不起台灣人', ': 不要這麼短視近利。香港是中國的「民主聖地」，中國民主', ': 化的火種。長期下來對中國民主化有利。中國民主化對台灣', ': 有利。短期讓中共頭疼也對台灣有利。', ': 老實說香港就是中國領土', ': 道光以前完全由內地控管', ': 就沒有啊 港人最自私誰不知道 可以提供資源協助 這樣就', ': 夠好了吧 以前香港人還看不起台灣人zzz']"
197,[討論] 乾脆請柯文哲民眾黨提案怎樣撐香港好了,5/26,"[': https://bit.ly/2XuMdFr', ': 不是已經提了，所以我不太認同啊', ': https://bit.ly/2yxU6kY 請原Po呼籲民進黨不要打假球阿', ': 反嗆小黨提案的都很好笑 平常提案求DPP支持的難道還少嗎', ': 就是跟時代力量一樣類型的主張吧', ': 連人家記者會都開了都不知道，搞笑嗎？', ': 開記者會 又沒實際辦法', ': 台灣價值都是選舉到了再來撐就好了  新來的喔', ': 靠綠的撐就好啦', ': 悲哀 人家黨都提案了 你還在睡', ': 連發文之前查個資料都不會還想酸', ': http://i.imgur.com/bEaABOo.jpg']"
198,Re: [黑特] 香港需要的是一場內戰,5/26,"[': 卡稱：不如買些蟑螂吧', ': 隨機殺死一個美國人?', ': 不如乾脆就製造一個假屍體宣稱是美國人', ': 就像當初盧溝橋事變的日本小兵一樣', ': 那個兵存不存在 不重要的 重要的是出兵的理由', ': 我覺得如果國際要找藉口介入不難 只是在於中國有沒有辦法', ': 接受', ': 還有藉口合不合理', ': 只是希望中國跟香港的紛爭可以快點平息', ': 先不管香港人民的理由是什麼 但是我知道這樣下去多少對經', ': 濟有影響']"
199,[討論] 香港人來台能接受低薪嗎,5/26,"[': 可以吧 其實蠻多移民的', ': 台灣房價生活費也沒香港高', ': YOUTUBE有些港人住台的心得', ': 移民深圳好了', ': 香港房價是台北房價乘4-5倍', ': 台灣租金也相對香港便宜 物價也是', ': 差遠了...香港的公立醫院護理師起薪3.8萬港 私立更高']"
200,Re: [黑特] 香港需要的是一場內戰,5/26,"[': 說個笑話 14億人的支持 這些人的支持可以幹嘛', ': 講的好像這些人的支持反對很重要', ': 人家民主呀！做事得到大多數同意', ': 反觀某地方辦了公投還不算數', ': 你4不4反串 柯柯', ': 不會殺啦 現在香港中產的風向已經漸漸在變了', ': 開始覺得上街頭的都是在鬧事 而且局面越搞越糟']"
